seq_page_links;value;links_to_law_details
http://parlament.ba/oLaw/GetOLawsByStatus?page=9&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=53359;http://parlament.ba/olaw/OLawDetails?lawId=53359
http://parlament.ba/oLaw/GetOLawsByStatus?page=9&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=53292;http://parlament.ba/olaw/OLawDetails?lawId=53292
http://parlament.ba/oLaw/GetOLawsByStatus?page=9&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=53162;http://parlament.ba/olaw/OLawDetails?lawId=53162
http://parlament.ba/oLaw/GetOLawsByStatus?page=9&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=53143;http://parlament.ba/olaw/OLawDetails?lawId=53143
http://parlament.ba/oLaw/GetOLawsByStatus?page=9&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=53095;http://parlament.ba/olaw/OLawDetails?lawId=53095
http://parlament.ba/oLaw/GetOLawsByStatus?page=9&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=53034;http://parlament.ba/olaw/OLawDetails?lawId=53034
http://parlament.ba/oLaw/GetOLawsByStatus?page=9&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=53033;http://parlament.ba/olaw/OLawDetails?lawId=53033
http://parlament.ba/oLaw/GetOLawsByStatus?page=9&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=53023;http://parlament.ba/olaw/OLawDetails?lawId=53023
http://parlament.ba/oLaw/GetOLawsByStatus?page=9&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=52972;http://parlament.ba/olaw/OLawDetails?lawId=52972
http://parlament.ba/oLaw/GetOLawsByStatus?page=10&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=52970;http://parlament.ba/olaw/OLawDetails?lawId=52970
http://parlament.ba/oLaw/GetOLawsByStatus?page=10&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=52935;http://parlament.ba/olaw/OLawDetails?lawId=52935
http://parlament.ba/oLaw/GetOLawsByStatus?page=10&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=52899;http://parlament.ba/olaw/OLawDetails?lawId=52899
http://parlament.ba/oLaw/GetOLawsByStatus?page=10&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=52875;http://parlament.ba/olaw/OLawDetails?lawId=52875
http://parlament.ba/oLaw/GetOLawsByStatus?page=10&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=52827;http://parlament.ba/olaw/OLawDetails?lawId=52827
http://parlament.ba/oLaw/GetOLawsByStatus?page=10&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=52719;http://parlament.ba/olaw/OLawDetails?lawId=52719
http://parlament.ba/oLaw/GetOLawsByStatus?page=10&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=52686;http://parlament.ba/olaw/OLawDetails?lawId=52686
http://parlament.ba/oLaw/GetOLawsByStatus?page=10&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=52685;http://parlament.ba/olaw/OLawDetails?lawId=52685
http://parlament.ba/oLaw/GetOLawsByStatus?page=10&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=52670;http://parlament.ba/olaw/OLawDetails?lawId=52670
http://parlament.ba/oLaw/GetOLawsByStatus?page=10&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=52553;http://parlament.ba/olaw/OLawDetails?lawId=52553
http://parlament.ba/oLaw/GetOLawsByStatus?page=11&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=52542;http://parlament.ba/olaw/OLawDetails?lawId=52542
http://parlament.ba/oLaw/GetOLawsByStatus?page=11&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=52540;http://parlament.ba/olaw/OLawDetails?lawId=52540
http://parlament.ba/oLaw/GetOLawsByStatus?page=11&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=52485;http://parlament.ba/olaw/OLawDetails?lawId=52485
http://parlament.ba/oLaw/GetOLawsByStatus?page=11&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=52472;http://parlament.ba/olaw/OLawDetails?lawId=52472
http://parlament.ba/oLaw/GetOLawsByStatus?page=11&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=52318;http://parlament.ba/olaw/OLawDetails?lawId=52318
http://parlament.ba/oLaw/GetOLawsByStatus?page=11&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=52316;http://parlament.ba/olaw/OLawDetails?lawId=52316
http://parlament.ba/oLaw/GetOLawsByStatus?page=11&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=52299;http://parlament.ba/olaw/OLawDetails?lawId=52299
http://parlament.ba/oLaw/GetOLawsByStatus?page=11&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=52192;http://parlament.ba/olaw/OLawDetails?lawId=52192
http://parlament.ba/oLaw/GetOLawsByStatus?page=11&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=52191;http://parlament.ba/olaw/OLawDetails?lawId=52191
http://parlament.ba/oLaw/GetOLawsByStatus?page=11&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=52153;http://parlament.ba/olaw/OLawDetails?lawId=52153
http://parlament.ba/oLaw/GetOLawsByStatus?page=12&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=52116;http://parlament.ba/olaw/OLawDetails?lawId=52116
http://parlament.ba/oLaw/GetOLawsByStatus?page=12&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=52115;http://parlament.ba/olaw/OLawDetails?lawId=52115
http://parlament.ba/oLaw/GetOLawsByStatus?page=12&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=52103;http://parlament.ba/olaw/OLawDetails?lawId=52103
http://parlament.ba/oLaw/GetOLawsByStatus?page=12&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=51703;http://parlament.ba/olaw/OLawDetails?lawId=51703
http://parlament.ba/oLaw/GetOLawsByStatus?page=12&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=51702;http://parlament.ba/olaw/OLawDetails?lawId=51702
http://parlament.ba/oLaw/GetOLawsByStatus?page=12&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=51303;http://parlament.ba/olaw/OLawDetails?lawId=51303
http://parlament.ba/oLaw/GetOLawsByStatus?page=12&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=51202;http://parlament.ba/olaw/OLawDetails?lawId=51202
http://parlament.ba/oLaw/GetOLawsByStatus?page=12&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=51178;http://parlament.ba/olaw/OLawDetails?lawId=51178
http://parlament.ba/oLaw/GetOLawsByStatus?page=12&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=51177;http://parlament.ba/olaw/OLawDetails?lawId=51177
http://parlament.ba/oLaw/GetOLawsByStatus?page=12&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=51161;http://parlament.ba/olaw/OLawDetails?lawId=51161
http://parlament.ba/oLaw/GetOLawsByStatus?page=13&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=51148;http://parlament.ba/olaw/OLawDetails?lawId=51148
http://parlament.ba/oLaw/GetOLawsByStatus?page=13&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=51147;http://parlament.ba/olaw/OLawDetails?lawId=51147
http://parlament.ba/oLaw/GetOLawsByStatus?page=13&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=51128;http://parlament.ba/olaw/OLawDetails?lawId=51128
http://parlament.ba/oLaw/GetOLawsByStatus?page=13&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=51126;http://parlament.ba/olaw/OLawDetails?lawId=51126
http://parlament.ba/oLaw/GetOLawsByStatus?page=13&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=51124;http://parlament.ba/olaw/OLawDetails?lawId=51124
http://parlament.ba/oLaw/GetOLawsByStatus?page=13&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=51101;http://parlament.ba/olaw/OLawDetails?lawId=51101
http://parlament.ba/oLaw/GetOLawsByStatus?page=13&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=51096;http://parlament.ba/olaw/OLawDetails?lawId=51096
http://parlament.ba/oLaw/GetOLawsByStatus?page=13&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=51095;http://parlament.ba/olaw/OLawDetails?lawId=51095
http://parlament.ba/oLaw/GetOLawsByStatus?page=13&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=51086;http://parlament.ba/olaw/OLawDetails?lawId=51086
http://parlament.ba/oLaw/GetOLawsByStatus?page=13&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=51063;http://parlament.ba/olaw/OLawDetails?lawId=51063
http://parlament.ba/oLaw/GetOLawsByStatus?page=14&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=50866;http://parlament.ba/olaw/OLawDetails?lawId=50866
http://parlament.ba/oLaw/GetOLawsByStatus?page=14&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=50508;http://parlament.ba/olaw/OLawDetails?lawId=50508
http://parlament.ba/oLaw/GetOLawsByStatus?page=14&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=50502;http://parlament.ba/olaw/OLawDetails?lawId=50502
http://parlament.ba/oLaw/GetOLawsByStatus?page=14&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=50368;http://parlament.ba/olaw/OLawDetails?lawId=50368
http://parlament.ba/oLaw/GetOLawsByStatus?page=14&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=50347;http://parlament.ba/olaw/OLawDetails?lawId=50347
http://parlament.ba/oLaw/GetOLawsByStatus?page=14&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=50294;http://parlament.ba/olaw/OLawDetails?lawId=50294
http://parlament.ba/oLaw/GetOLawsByStatus?page=14&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=50280;http://parlament.ba/olaw/OLawDetails?lawId=50280
http://parlament.ba/oLaw/GetOLawsByStatus?page=14&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=50268;http://parlament.ba/olaw/OLawDetails?lawId=50268
http://parlament.ba/oLaw/GetOLawsByStatus?page=14&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=50082;http://parlament.ba/olaw/OLawDetails?lawId=50082
http://parlament.ba/oLaw/GetOLawsByStatus?page=14&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=17750;http://parlament.ba/olaw/OLawDetails?lawId=17750
http://parlament.ba/oLaw/GetOLawsByStatus?page=15&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=17735;http://parlament.ba/olaw/OLawDetails?lawId=17735
http://parlament.ba/oLaw/GetOLawsByStatus?page=15&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=17450;http://parlament.ba/olaw/OLawDetails?lawId=17450
http://parlament.ba/oLaw/GetOLawsByStatus?page=15&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=17238;http://parlament.ba/olaw/OLawDetails?lawId=17238
http://parlament.ba/oLaw/GetOLawsByStatus?page=15&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=17086;http://parlament.ba/olaw/OLawDetails?lawId=17086
http://parlament.ba/oLaw/GetOLawsByStatus?page=15&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=17039;http://parlament.ba/olaw/OLawDetails?lawId=17039
http://parlament.ba/oLaw/GetOLawsByStatus?page=15&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=16660;http://parlament.ba/olaw/OLawDetails?lawId=16660
http://parlament.ba/oLaw/GetOLawsByStatus?page=15&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=16488;http://parlament.ba/olaw/OLawDetails?lawId=16488
http://parlament.ba/oLaw/GetOLawsByStatus?page=15&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=16446;http://parlament.ba/olaw/OLawDetails?lawId=16446
http://parlament.ba/oLaw/GetOLawsByStatus?page=15&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=16379;http://parlament.ba/olaw/OLawDetails?lawId=16379
http://parlament.ba/oLaw/GetOLawsByStatus?page=15&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=15958;http://parlament.ba/olaw/OLawDetails?lawId=15958
http://parlament.ba/oLaw/GetOLawsByStatus?page=16&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=15414;http://parlament.ba/olaw/OLawDetails?lawId=15414
http://parlament.ba/oLaw/GetOLawsByStatus?page=16&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=15207;http://parlament.ba/olaw/OLawDetails?lawId=15207
http://parlament.ba/oLaw/GetOLawsByStatus?page=16&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=15140;http://parlament.ba/olaw/OLawDetails?lawId=15140
http://parlament.ba/oLaw/GetOLawsByStatus?page=16&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=15106;http://parlament.ba/olaw/OLawDetails?lawId=15106
http://parlament.ba/oLaw/GetOLawsByStatus?page=16&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=14859;http://parlament.ba/olaw/OLawDetails?lawId=14859
http://parlament.ba/oLaw/GetOLawsByStatus?page=16&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=14831;http://parlament.ba/olaw/OLawDetails?lawId=14831
http://parlament.ba/oLaw/GetOLawsByStatus?page=16&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=14699;http://parlament.ba/olaw/OLawDetails?lawId=14699
http://parlament.ba/oLaw/GetOLawsByStatus?page=16&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=14481;http://parlament.ba/olaw/OLawDetails?lawId=14481
http://parlament.ba/oLaw/GetOLawsByStatus?page=16&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=14371;http://parlament.ba/olaw/OLawDetails?lawId=14371
http://parlament.ba/oLaw/GetOLawsByStatus?page=16&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=13768;http://parlament.ba/olaw/OLawDetails?lawId=13768
http://parlament.ba/oLaw/GetOLawsByStatus?page=17&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=12303;http://parlament.ba/olaw/OLawDetails?lawId=12303
http://parlament.ba/oLaw/GetOLawsByStatus?page=17&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=11987;http://parlament.ba/olaw/OLawDetails?lawId=11987
